"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"Globals","0","33","0","1","0.000000","0","0"
"/InterchangeAssets/gltf/M_ClearCoat.M_ClearCoat","0","118","136","6","0.000000","0","136"
"/InterchangeAssets/gltf/M_Transmission.M_Transmission","0","36","36","2","0.000000","0","36"
"/InterchangeAssets/gltf/M_Sheen.M_Sheen","0","110","120","6","0.000000","0","120"
"/InterchangeAssets/gltf/M_Default.M_Default","0","118","136","6","0.000000","0","136"
"/InterchangeAssets/gltf/M_Unlit.M_Unlit","0","90","100","6","0.000000","0","100"
"/InterchangeAssets/gltf/M_SpecularGlossiness.M_SpecularGlossiness","0","110","120","6","0.000000","0","120"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","0","28","32","1","0.000000","0","32"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","0","28","32","1","0.000000","0","32"
"/Engine/EditorLandscapeResources/LandscapeLayerUsageMaterial.LandscapeLayerUsageMaterial","0","2","2","1","3.483598","0","2"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","36","42","2","0.000000","0","42"
"/Game/Art/starry-sky-background-png-twinkling-stars-in-the-night-sky-loop-1920_Mat.starry-sky-background-png-twinkling-stars-in-the-night-sky-loop-1920_Mat","0","2","2","1","1.711487","0","2"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","5","6","1","3.823034","0","6"
"/Engine/EditorLandscapeResources/SelectBrushMaterial.SelectBrushMaterial","0","10","10","2","6.551867","0","10"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","45","35","6","24.180134","1","35"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","609","0","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","75","75","1","26.707291","0","75"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","31","31","1","14.540126","0","31"
"/HairStrands/Materials/HairDebugMaterial.HairDebugMaterial","0","57","63","1","0.000000","0","63"
"/Engine/EditorLandscapeResources/MaskBrushMaterial.MaskBrushMaterial","0","5","5","1","3.201591","1","5"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","2","2","1","1.940947","0","2"
"/ControlRig/M_Manip.M_Manip","0","8","9","1","0.000000","0","9"
"/Engine/EditorLandscapeResources/LayerVisMaterial.LayerVisMaterial","0","2","2","1","2.042527","0","2"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","0","25","25","1","2.031770","0","25"
"/Game/Art/BaseMaterial.BaseMaterial","0","2","2","1","0.000000","0","2"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","37","37","1","1.088495","0","37"
"/Engine/VREditor/TransformGizmo/Main.Main","0","5","5","1","1.163666","0","5"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","3","3","1","0.000000","0","3"
"/HairStrands/Materials/HairDefaultMaterial.HairDefaultMaterial","0","33","36","1","0.000000","0","36"
"/HairStrands/Materials/HairCardsDefaultMaterial.HairCardsDefaultMaterial","0","57","63","1","0.000000","0","63"
"/HairStrands/Materials/HairMeshesDefaultMaterial.HairMeshesDefaultMaterial","0","33","36","1","0.000000","0","36"
"/CameraCalibrationCore/Materials/M_DefaultOddSquare.M_DefaultOddSquare","0","4","4","1","0.000000","0","4"
"/CameraCalibrationCore/Materials/M_DefaultEvenSquare.M_DefaultEvenSquare","0","4","4","1","0.000000","0","4"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","5","5","1","1.114919","0","5"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","5","5","1","1.061496","0","5"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","0","8","9","1","0.000000","0","9"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","2","2","1","0.000000","0","2"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","7","7","1","1.160017","0","7"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","0","5","5","1","1.194675","0","5"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","0","5","5","1","1.209162","0","5"
"/Engine/VREditor/SnapGrid/SnapGridMaterial.SnapGridMaterial","0","14","14","1","9.736726","0","14"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","0","2","2","1","0.000000","0","2"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","0","12","0","1","0.000000","0","0"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","5","6","1","4.275521","0","6"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","14","0","1","0.000000","0","0"
"/Engine/EditorMaterials/Dataflow/DataflowTwoSidedVertexMaterial.SculptMaterial","0","6","7","1","5.827331","0","0"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","0","5","5","1","1.246926","0","5"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","0","5","5","1","1.135973","0","5"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","0","24","24","1","14.810680","0","24"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","0","6","0","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","0","5","0","1","0.000000","0","0"
"/Engine/EditorLandscapeResources/ColorMaskBrushMaterial.ColorMaskBrushMaterial","0","5","0","1","0.000000","0","0"
"/Engine/EditorLandscapeResources/LandscapeDirtyMaterial.LandscapeDirtyMaterial","0","5","0","1","0.000000","0","0"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","0","14","0","1","0.000000","0","0"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","0","8","0","1","0.000000","0","0"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","0","10","0","1","0.000000","0","0"
"/Engine/EditorMaterials/Dataflow/DataflowVertexMaterial.DataflowVertexMaterial","0","6","0","1","0.000000","0","0"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","6","0","1","0.000000","0","0"
"/Engine/EditorMaterials/Dataflow/DataflowTwoSidedVertexMaterial.DataflowTwoSidedVertexMaterial","0","6","0","1","0.000000","0","0"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","0","9","0","1","0.000000","0","0"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","0","9","0","1","0.000000","0","0"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","0","6","0","1","0.000000","0","0"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","0","6","0","1","0.000000","0","0"
"Globals","49","33","0","1","0.000000","0","0"
"/InterchangeAssets/gltf/M_ClearCoat.M_ClearCoat","49","146","164","6","0.000000","0","164"
"/InterchangeAssets/gltf/M_Default.M_Default","49","146","164","6","0.000000","0","164"
"/InterchangeAssets/gltf/M_Transmission.M_Transmission","49","48","48","2","0.000000","0","48"
"/InterchangeAssets/gltf/M_Sheen.M_Sheen","49","138","148","6","0.000000","0","148"
"/InterchangeAssets/gltf/M_Unlit.M_Unlit","49","226","236","6","0.000000","0","236"
"/InterchangeAssets/gltf/M_SpecularGlossiness.M_SpecularGlossiness","49","138","148","6","0.000000","0","148"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","49","61","66","6","27.700151","0","47"
"/Engine/EditorLandscapeResources/LandscapeLayerUsageMaterial.LandscapeLayerUsageMaterial","49","4","4","1","0.000000","0","4"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","49","36","40","1","0.000000","0","40"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","49","36","40","1","0.000000","0","40"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","49","1780","1803","1","0.000000","0","0"
"/Engine/EditorLandscapeResources/MaskBrushMaterial.MaskBrushMaterial","49","7","7","1","0.685851","0","7"
"/Engine/VREditor/SnapGrid/SnapGridMaterial.SnapGridMaterial","49","16","16","1","4.609537","0","16"
"/Engine/EditorLandscapeResources/SelectBrushMaterial.SelectBrushMaterial","49","14","14","2","1.740789","0","14"
"/Game/Art/starry-sky-background-png-twinkling-stars-in-the-night-sky-loop-1920_Mat.starry-sky-background-png-twinkling-stars-in-the-night-sky-loop-1920_Mat","49","4","4","1","0.000000","0","4"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","49","18","20","1","3.298664","0","0"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","49","44","50","2","0.000000","0","50"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","49","28","28","1","13.408983","0","28"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","49","75","75","1","0.000000","0","75"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","49","31","31","1","0.000000","0","31"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","49","5","5","1","1.920786","0","0"
"/HairStrands/Materials/HairDebugMaterial.HairDebugMaterial","49","65","71","1","0.000000","0","71"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","49","4","4","1","0.000000","0","4"
"/ControlRig/M_Manip.M_Manip","49","10","11","1","0.000000","0","11"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","49","10","11","1","2.714577","0","0"
"/Engine/EditorLandscapeResources/LayerVisMaterial.LayerVisMaterial","49","4","4","1","0.000000","0","4"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","49","63","63","1","0.000000","0","63"
"/Engine/EditorLandscapeResources/ColorMaskBrushMaterial.ColorMaskBrushMaterial","49","7","7","1","0.463762","0","0"
"/Engine/EditorLandscapeResources/LandscapeDirtyMaterial.LandscapeDirtyMaterial","49","7","7","1","0.519007","0","0"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","49","16","16","1","5.710765","0","0"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","49","10","10","1","4.124639","0","0"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","49","14","14","1","16.975111","0","0"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","49","11","0","1","0.000000","0","0"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","49","11","11","1","13.574089","0","0"
"/Game/Art/BaseMaterial.BaseMaterial","49","4","4","1","0.000000","0","4"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","49","75","75","1","0.000000","0","75"
"/Engine/VREditor/TransformGizmo/Main.Main","49","7","7","1","0.000000","0","7"
"/Engine/VREditor/TransformGizmo/Xray.Xray","49","5","5","1","0.000000","0","5"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","49","8","8","1","3.916126","0","0"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","49","14","16","1","8.655000","0","0"
"/HairStrands/Materials/HairDefaultMaterial.HairDefaultMaterial","49","35","38","1","0.000000","0","38"
"/HairStrands/Materials/HairCardsDefaultMaterial.HairCardsDefaultMaterial","49","65","71","1","0.000000","0","71"
"/HairStrands/Materials/HairMeshesDefaultMaterial.HairMeshesDefaultMaterial","49","35","38","1","0.000000","0","38"
"/CameraCalibrationCore/Materials/M_DefaultOddSquare.M_DefaultOddSquare","49","6","6","1","0.000000","0","6"
"/CameraCalibrationCore/Materials/M_DefaultEvenSquare.M_DefaultEvenSquare","49","6","6","1","0.000000","0","6"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","49","7","7","1","0.000000","0","7"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","49","7","7","1","0.000000","0","7"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","49","10","11","1","0.000000","0","11"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","49","16","16","1","11.978855","0","0"
"/Engine/EditorMaterials/Dataflow/DataflowVertexMaterial.DataflowVertexMaterial","49","8","8","1","3.389651","0","0"
"/Engine/EditorMaterials/Dataflow/DataflowTwoSidedVertexMaterial.DataflowTwoSidedVertexMaterial","49","8","9","1","1.673949","0","0"
"/Engine/EditorMaterials/Dataflow/DataflowTwoSidedVertexMaterial.SculptMaterial","49","8","9","1","4.358869","0","0"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","49","16","18","1","5.079151","0","0"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","49","4","4","1","0.000000","0","4"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","49","9","9","1","0.000000","0","9"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","49","7","8","1","1.871633","0","8"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","49","7","7","1","0.000000","0","7"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","49","7","7","1","0.000000","0","7"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","49","7","8","1","0.000000","0","8"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","49","5","5","1","1.051775","0","5"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","49","5","5","1","0.975684","0","5"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","49","4","4","1","0.000000","0","4"
